               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.023126,            0.016649,          0.00097987,             0.93857,             0.55185,             0.59535,             0.39909,            0.027986,            0.016368,           0.0094316,             0.00208,             0.00208,             0.00208
                  82,            0.022799,            0.016554,          0.00098352,             0.93078,             0.56836,             0.60792,             0.42611,            0.027523,            0.015812,           0.0085964,            0.001981,            0.001981,            0.001981
                  83,            0.023394,            0.017843,          0.00084564,             0.93613,             0.54444,             0.59716,             0.41902,             0.02797,            0.015754,           0.0092695,            0.001882,            0.001882,            0.001882
                  84,            0.023038,            0.017853,          0.00079196,             0.94881,             0.50624,             0.58592,             0.40994,            0.027899,            0.015903,            0.010812,            0.001783,            0.001783,            0.001783
                  85,            0.022786,            0.017809,           0.0010725,             0.94593,             0.52402,             0.58864,             0.41515,            0.028287,            0.015949,            0.010861,            0.001684,            0.001684,            0.001684
                  86,            0.021821,            0.017034,           0.0009154,             0.92717,             0.54444,             0.59814,             0.40486,            0.029002,            0.015896,           0.0099479,            0.001585,            0.001585,            0.001585
                  87,            0.021882,            0.016772,          0.00072067,             0.92954,             0.54444,             0.60416,             0.41127,            0.028662,            0.016011,           0.0081675,            0.001486,            0.001486,            0.001486
                  88,            0.022321,            0.017509,           0.0011052,             0.92224,             0.54444,             0.59979,             0.41154,            0.027621,             0.01556,            0.008302,            0.001387,            0.001387,            0.001387
                  89,            0.021657,            0.016248,          0.00065615,             0.91234,             0.56024,             0.59099,             0.41206,            0.027829,            0.015595,           0.0094468,            0.001288,            0.001288,            0.001288
                  90,            0.022642,            0.016704,          0.00097054,             0.91197,             0.55847,             0.58627,             0.40758,            0.028149,            0.016199,            0.009385,            0.001189,            0.001189,            0.001189
                  91,            0.021284,            0.016392,           0.0010154,             0.95209,             0.54045,             0.58636,              0.4115,            0.028144,            0.016526,           0.0090117,             0.00109,             0.00109,             0.00109
                  92,            0.021248,            0.016112,          0.00063802,             0.95018,             0.54126,             0.58649,             0.41091,            0.028071,            0.016483,           0.0087974,            0.000991,            0.000991,            0.000991
                  93,            0.022083,            0.017059,          0.00095218,             0.93339,             0.54417,             0.58862,              0.4102,            0.028369,            0.016345,           0.0090218,            0.000892,            0.000892,            0.000892
                  94,            0.021536,            0.016094,          0.00097888,             0.94142,             0.53975,             0.59532,             0.41373,            0.028277,            0.016337,           0.0087195,            0.000793,            0.000793,            0.000793
                  95,            0.020813,            0.016462,           0.0012475,             0.94499,             0.54258,             0.58947,              0.4108,            0.028478,            0.016623,           0.0086379,            0.000694,            0.000694,            0.000694
                  96,            0.020482,            0.015453,           0.0012487,             0.95327,             0.54266,             0.59465,             0.41626,            0.028567,              0.0164,           0.0078427,            0.000595,            0.000595,            0.000595
                  97,            0.020544,            0.016217,          0.00069507,             0.95079,             0.54444,             0.59545,             0.41251,            0.028362,            0.016498,           0.0076083,            0.000496,            0.000496,            0.000496
                  98,            0.020575,            0.015891,          0.00072104,             0.94817,             0.54176,             0.59425,             0.41038,             0.02844,            0.016589,           0.0078358,            0.000397,            0.000397,            0.000397
                  99,            0.021006,            0.016946,          0.00089489,             0.94526,              0.5411,               0.594,             0.41404,            0.028302,            0.016607,           0.0081068,            0.000298,            0.000298,            0.000298
